Organization Name,Use Case Name,Submission Date and Time (UTC),Reference Number,Submission Status,Organization Status
Ornua Co Operative Limited,Payment Schedules,2026-05-21 10:48:23.899000Z,170932M,Received,Active
Sika Ireland Ltd,Payment Schedules,2026-05-21 10:46:12.570000Z,170960M,Submitted,Active
Glennon Employee Benefits,Payment Schedules,2026-05-21 10:40:34.204000Z,170952M,Submitted,Active
Veryan Medical Limited,Payment Schedules,2026-05-21 10:38:43.594000Z,170947M,Submitted,Active
Thomson Reuters Ireland,Payment Schedules,2026-05-21 10:32:30.025000Z,170908M,Received,Active
Thomson Reuters Ireland,Payment Schedules,2026-05-21 10:32:29.007000Z,170918M,Received,Active
Sightsavers Ireland,Payment Schedules,2026-05-21 10:32:23.749000Z,170911M,Received,Active
Ornua Co Operative Limited,Payment Schedules,2026-05-21 10:24:34.694000Z,170934M,Submitted,Active
Ornua Co Operative Limited,Payment Schedules,2026-05-21 10:22:34.126000Z,170933M,Submitted,Active
Ornua Co Operative Limited,Payment Schedules,2026-05-21 10:20:47.555000Z,170932M,Submitted,Active
Lifesteps Financial Planning Ltd,Payment Schedules,2026-05-21 10:14:26.073000Z,170902M,Received,Active
Vantage Data Centers Ireland Ltd,Payment Schedules,2026-05-21 10:14:24.272000Z,170900M,Received,Active
Thomson Reuters Ireland,Payment Schedules,2026-05-21 10:14:22.567000Z,170899M,Received,Active
Accord Healthcare Ireland,Payment Schedules,2026-05-21 10:14:20.893000Z,170894M,Received,Active
Thomson Reuters Ireland,Payment Schedules,2026-05-21 10:13:18.913000Z,170918M,Submitted,Active
Sightsavers Ireland,Payment Schedules,2026-05-21 10:04:06.005000Z,170911M,Submitted,Active
Thomson Reuters Ireland,Payment Schedules,2026-05-21 10:01:38.148000Z,170908M,Submitted,Active
Viatris Pension Plan,Payment Schedules,2026-05-21 09:56:21.667000Z,169191M,Completed,Active
Anchor Bay Construction Access Ire Ltd,Payment Schedules,2026-05-21 09:55:16.352000Z,170878M,Received,Active
Lifesteps Financial Planning Ltd,Payment Schedules,2026-05-21 09:54:26.285000Z,170902M,Submitted,Active
Vantage Data Centers Ireland Ltd,Payment Schedules,2026-05-21 09:52:51.264000Z,170900M,Submitted,Active
Thomson Reuters Ireland,Payment Schedules,2026-05-21 09:52:38.162000Z,170899M,Submitted,Active
Accord Healthcare Ireland,Payment Schedules,2026-05-21 09:48:46.458000Z,170894M,Submitted,Active
Lifesteps Financial Planning Ltd,Payment Schedules,2026-05-21 09:40:52.611000Z,170865M,Received,Active
Athena Trident Management DAC,Payment Schedules,2026-05-21 09:40:51.714000Z,170871M,Received,Active
Mathworks Limited,Payment Schedules,2026-05-21 09:40:45.941000Z,170866M,Received,Active
Chubb Ireland Ltd,Payment Schedules,2026-05-21 09:37:59.873000Z,169426M,Completed,Active
Barnardos Ltd,Payment Schedules,2026-05-21 09:32:13.280000Z,169434M,Completed,Active
Anchor Bay Construction Access Ire Ltd,Payment Schedules,2026-05-21 09:29:46.964000Z,170878M,Submitted,Active
Maxol Limited,Payment Schedules,2026-05-21 09:27:42.339000Z,169863M,Completed,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 09:27:26.791000Z,170385M,Completed,Active
RWE Renewables Ireland,Payment Schedules,2026-05-21 09:26:44.767000Z,169507M,Completed,Active
Bon Secours Health System CLG,Payment Schedules,2026-05-21 09:26:40.088000Z,170864M,Received,Active
Ei Unlimited Company,Payment Schedules,2026-05-21 09:25:44.868000Z,170324M,Completed,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 09:22:50.873000Z,170388M,Completed,Active
Athena Trident Management DAC,Payment Schedules,2026-05-21 09:22:26.996000Z,170871M,Submitted,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 09:22:00.373000Z,170312M,Completed,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 09:21:24.885000Z,170251M,Completed,Active
Barnardos Ltd,Payment Schedules,2026-05-21 09:18:14.360000Z,169433M,Completed,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 09:15:05.934000Z,170804M,Completed,Active
Mathworks Limited,Payment Schedules,2026-05-21 09:13:21.161000Z,170866M,Submitted,Active
Lifesteps Financial Planning Ltd,Payment Schedules,2026-05-21 09:11:57.087000Z,170865M,Submitted,Active
Bon Secours Health System CLG,Payment Schedules,2026-05-21 09:08:45.877000Z,170864M,Submitted,Active
LMR Partners Research Ireland Ltd,Payment Schedules,2026-05-21 08:56:05.269000Z,170841M,Received,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 08:56:01.394000Z,170843M,Received,Active
Glennon Employee Benefits,Payment Schedules,2026-05-21 08:53:14.909000Z,169539M,Completed,Active
WiseTech Global Ltd,Payment Schedules,2026-05-21 08:45:42.179000Z,169931M,Completed,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 08:39:54.449000Z,170843M,Submitted,Active
LMR Partners Research Ireland Ltd,Payment Schedules,2026-05-21 08:39:09.109000Z,170841M,Submitted,Active
Focus Ireland,Payment Schedules,2026-05-21 08:30:07.895000Z,169803M,Completed,Active
Ceist Limited,Payment Schedules,2026-05-21 08:27:45.992000Z,170812M,Received,Active
Acco Rexel Limited,Payment Schedules,2026-05-21 08:14:00.200000Z,169632M,Completed,Active
National Advocacy Service for People with Disabilities,Payment Schedules,2026-05-21 08:12:59.529000Z,169681M,Completed,Active
Spirax Sarco Limited,Payment Schedules,2026-05-21 08:10:37.295000Z,169645M,Completed,Active
Jennings O Donovan and Partners,Payment Schedules,2026-05-21 08:09:46.772000Z,170811M,Received,Active
Jennings O Donovan and Partners,Payment Schedules,2026-05-21 08:09:46.430000Z,170809M,Received,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 08:09:45.994000Z,170806M,Received,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 08:09:45.220000Z,170804M,Received,Active
Idoman Teoranta,Payment Schedules,2026-05-21 08:07:33.542000Z,169807M,Completed,Active
Snap On Equipment Europe Ltd,Payment Schedules,2026-05-21 08:06:28.035000Z,169704M,Completed,Active
Ceist Limited,Payment Schedules,2026-05-21 07:52:27.759000Z,170812M,Submitted,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 07:50:43.756000Z,170796M,Received,Active
Jennings O Donovan and Partners,Payment Schedules,2026-05-21 07:45:49.485000Z,170811M,Submitted,Active
Jennings O Donovan and Partners,Payment Schedules,2026-05-21 07:44:42.583000Z,170809M,Submitted,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 07:42:18.642000Z,170806M,Submitted,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 07:40:22.724000Z,170804M,Submitted,Active
Wiz Cloud Limited,Payment Schedules,2026-05-21 07:35:40.856000Z,169797M,Completed,Active
Ornua Co Operative Limited,Payment Schedules,2026-05-21 07:30:23.905000Z,169757M,Completed,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 07:28:46.078000Z,170796M,Submitted,Active
Western Digital UK Ireland Branch,Payment Schedules,2026-05-20 21:56:37.578000Z,170514M,Received,Active
Western Digital UK Ireland Branch,Payment Schedules,2026-05-20 21:34:07.935000Z,170514M,Submitted,Active
ActiveCampaign Ireland Limited,Payment Schedules,2026-05-20 20:45:47.154000Z,170492M,Received,Active
ActiveCampaign Ireland Limited,Payment Schedules,2026-05-20 20:24:15.891000Z,170492M,Submitted,Active
Chubb Ireland Ltd,Payment Schedules,2026-05-20 19:58:59.848000Z,169427M,Completed,Active
AMBU Limited,Payment Schedules,2026-05-20 19:56:49.090000Z,168886M,Completed,Active
Unio Employee Benefits,Payment Schedules,2026-05-20 19:56:33.508000Z,168885M,Completed,Active
Irish Business and Employers Confederation,Payment Schedules,2026-05-20 19:55:48.168000Z,168422M,Completed,Active
Neopul Ireland,Payment Schedules,2026-05-20 19:55:37.515000Z,168383M,Completed,Active
Anne Sullivan Centre Ltd,Payment Schedules,2026-05-20 19:55:27.082000Z,168264M,Completed,Active
Monaghan Bottlers Limited,Payment Schedules,2026-05-20 19:55:06.405000Z,168185M,Completed,Active
Grid Dynamics UK Ltd,Payment Schedules,2026-05-20 19:54:50.852000Z,168021M,Completed,Active
Meridian Vat Processing International,Payment Schedules,2026-05-20 19:54:45.523000Z,167945M,Completed,Active
Donegal Forklifts Ltd,Payment Schedules,2026-05-20 19:54:35.222000Z,167664M,Completed,Active
Arachas Corporate Brokers Ltd,Payment Schedules,2026-05-20 19:54:19.767000Z,167623M,Completed,Active
Arachas Corporate Brokers Ltd,Payment Schedules,2026-05-20 19:54:09.142000Z,167622M,Completed,Active
Plassey Campus Centre Ltd,Payment Schedules,2026-05-20 19:52:28.705000Z,166582M,Completed,Active
NeoDyne Limited,Payment Schedules,2026-05-20 19:50:48.182000Z,161965M,Completed,Active
Haier Smart Home UK and I Ltd,Payment Schedules,2026-05-20 19:46:52.557000Z,128630M,Completed,Active
Electronic Arts Ireland Limited,Payment Schedules,2026-05-20 19:45:07.133000Z,109510M,Completed,Active
Ballard Pharmakon Limited,Payment Schedules,2026-05-20 17:13:40.781000Z,169552M,Completed,Active
Smartply Europe Limited,Payment Schedules,2026-05-20 17:12:25.159000Z,169744M,Completed,Active
AQF Limited Pension Scheme,Payment Schedules,2026-05-20 16:52:53.847000Z,168411M,Completed,Active
Crotty Insurance Brokers Ltd,Payment Schedules,2026-05-20 16:30:56.241000Z,170447M,Received,Active
Booking Holdings Financial Services Intl Ltd,Payment Schedules,2026-05-20 16:30:55.718000Z,170442M,Received,Active
Premier Molasses Co Ltd,Payment Schedules,2026-05-20 16:29:30.543000Z,168248M,Completed,Active
Crotty Insurance Brokers Ltd,Payment Schedules,2026-05-20 16:18:49.425000Z,170447M,Submitted,Active
Booking Holdings Financial Services Intl Ltd,Payment Schedules,2026-05-20 16:15:50.599000Z,170442M,Submitted,Active
Unio Employee Benefits,Payment Schedules,2026-05-20 16:08:49.251000Z,170432M,Received,Active
Evumed Limited,Payment Schedules,2026-05-20 16:08:49.159000Z,170431M,Received,Active
Unio Employee Benefits,Payment Schedules,2026-05-20 15:57:13.065000Z,170430M,Received,Active
Unio Employee Benefits,Payment Schedules,2026-05-20 15:47:32.031000Z,170432M,Submitted,Active
Evumed Limited,Payment Schedules,2026-05-20 15:47:25.293000Z,170431M,Submitted,Active
Unio Employee Benefits,Payment Schedules,2026-05-20 15:43:09.243000Z,170430M,Submitted,Active
Welch Allyn Limited,Payment Schedules,2026-05-20 15:34:20.416000Z,170417M,Received,Active
Unio Employee Benefits,Payment Schedules,2026-05-20 15:34:18.795000Z,170415M,Received,Active
