Organization Name,Use Case Name,Submission Date and Time (UTC),Reference Number,Submission Status,Organization Status
Mason Hayes and Curran,Update Members,2026-06-15 15:29:24.992000Z,185446M,Submitted,Active
Glennon Employee Benefits,Update Members,2026-06-15 14:15:04.367000Z,177110M,Completed,Active
Enterprise Ire IDA and Science Foundation,Update Members,2026-06-15 13:50:50.683000Z,185340M,Received,Active
Roadstone Limited,Update Members,2026-06-15 13:50:44.679000Z,185333M,Received,Active
Howden Insurance Ireland Limited,Update Members,2026-06-15 13:50:42.573000Z,185339M,Received,Active
Enterprise Ire IDA and Science Foundation,Update Members,2026-06-15 13:32:21.126000Z,185340M,Submitted,Active
Howden Insurance Ireland Limited,Update Members,2026-06-15 13:31:30.839000Z,185339M,Submitted,Active
Roadstone Limited,Update Members,2026-06-15 13:24:48.551000Z,185333M,Submitted,Active
Securitas Security Services Ireland Ltd,Update Members,2026-06-15 11:58:47.232000Z,185260M,Received,Active
Securitas Security Services Ireland Ltd,Update Members,2026-06-15 11:41:07.039000Z,185260M,Submitted,Active
Securitas Security Services Ireland Ltd,Update Members,2026-06-15 11:30:05.581000Z,185238M,Received,Active
Securitas Security Services Ireland Ltd,Update Members,2026-06-15 11:08:44.323000Z,185238M,Submitted,Active
Expleo Technology Ireland Limited,Update Members,2026-06-15 11:00:46.899000Z,185211M,Received,Active
Securitas Security Services Ireland Ltd,Update Members,2026-06-15 10:45:52.648000Z,185195M,Received,Active
Expleo Technology Ireland Limited,Update Members,2026-06-15 10:44:59.822000Z,185211M,Submitted,Active
Securitas Security Services Ireland Ltd,Update Members,2026-06-15 10:29:01.643000Z,185195M,Submitted,Active
Zendesk International Limited,Update Members,2026-06-15 10:27:37.569000Z,177764M,Completed,Active
Roadstone Limited,Update Members,2026-06-15 09:12:50.899000Z,185098M,Received,Active
Roadstone Limited,Update Members,2026-06-15 08:44:07.306000Z,185098M,Submitted,Active
RKD Architects,Update Members,2026-06-13 12:43:22.506000Z,183570M,Completed,Active
BearingPoint Ireland Limited,Update Members,2026-06-13 08:40:31.144000Z,182534M,Completed,Active
CIE Group,Update Members,2026-06-13 08:06:44.626000Z,182798M,Completed,Active
Renaissance Services of Europe Limited,Update Members,2026-06-12 14:11:21.032000Z,184564M,Received,Active
Failte Ireland,Update Members,2026-06-12 14:04:55.216000Z,176992M,Completed,Active
Renaissance Services of Europe Limited,Update Members,2026-06-12 13:43:04.194000Z,184564M,Submitted,Active
Coillte Teoranta,Update Members,2026-06-12 11:40:46.733000Z,176940M,Completed,Active
Pramerica Systems Ireland Ltd,Update Members,2026-06-12 10:59:47.182000Z,184444M,Received,Active
MeiraGTx Ireland DAC,Update Members,2026-06-12 10:56:41.723000Z,176905M,Completed,Active
Pramerica Systems Ireland Ltd,Update Members,2026-06-12 10:41:49.284000Z,184444M,Submitted,Active
Demonware Limited,Update Members,2026-06-12 09:46:32.449000Z,184389M,Received,Active
Demonware Limited,Update Members,2026-06-12 09:32:15.532000Z,184381M,Received,Active
Demonware Limited,Update Members,2026-06-12 09:20:07.985000Z,184389M,Submitted,Active
Demonware Limited,Update Members,2026-06-12 09:15:06.089000Z,184381M,Submitted,Active
Swim Ireland,Update Members,2026-06-12 07:07:39.694000Z,176955M,Completed,Active
MeiraGTx Ireland DAC,Update Members,2026-06-12 06:52:47.156000Z,176901M,Completed,Active
Unio Employee Benefits,Update Members,2026-06-12 06:52:46.894000Z,176871M,Completed,Active
Viatel Ireland Ltd,Update Members,2026-06-11 14:54:48.675000Z,184049M,Received,Active
Viatel Ireland Ltd,Update Members,2026-06-11 14:39:58.343000Z,184049M,Submitted,Active
TechnoPath Manufacturing Ltd,Update Members,2026-06-11 11:30:23.026000Z,177796M,Cancelled,Active
DLA Piper Ireland LLP,Update Members,2026-06-11 11:15:39.672000Z,183864M,Received,Active
DLA Piper Ireland LLP,Update Members,2026-06-11 10:54:56.327000Z,183864M,Submitted,Active
Kerry Group Plc,Update Members,2026-06-11 10:51:23.482000Z,175945M,Completed,Active
Darwin,Update Members,2026-06-11 09:55:18.268000Z,183802M,Received,Active
Darwin,Update Members,2026-06-11 09:55:12.510000Z,183801M,Received,Active
Beacon Hospital Sandyford Limited,Update Members,2026-06-11 09:41:38.648000Z,183799M,Received,Active
Darwin,Update Members,2026-06-11 09:28:41.843000Z,183802M,Submitted,Active
Darwin,Update Members,2026-06-11 09:28:17.201000Z,183801M,Submitted,Active
Beacon Hospital Sandyford Limited,Update Members,2026-06-11 09:23:01.849000Z,183799M,Submitted,Active
RKD Architects,Update Members,2026-06-10 15:43:45.396000Z,183570M,Received,Active
RKD Architects,Update Members,2026-06-10 15:22:20.693000Z,183570M,Submitted,Active
Demonware Limited,Update Members,2026-06-10 14:11:53.058000Z,183490M,Received,Active
Demonware Limited,Update Members,2026-06-10 13:52:34.633000Z,183490M,Submitted,Active
Etrawler Unlimited Company,Update Members,2026-06-10 09:26:26.150000Z,182714M,Completed,Active
BNL Sciences Limited,Update Members,2026-06-10 06:50:57.160000Z,175913M,Completed,Active
Lacework Ireland Ltd,Update Members,2026-06-09 22:23:29.867000Z,183141M,Received,Active
Lacework Ireland Ltd,Update Members,2026-06-09 22:02:24.678000Z,183141M,Submitted,Active
Ethos Engineering Limited,Update Members,2026-06-09 16:38:57.027000Z,183067M,Received,Active
Ethos Engineering Limited,Update Members,2026-06-09 16:24:16.819000Z,183067M,Submitted,Active
Irish Residential Properties,Update Members,2026-06-09 15:28:06.404000Z,183007M,Received,Active
